country_code,country,year,political_stability_score,indicator,unit,yoy_change,stability_category
AFG,Afghanistan,1996,-2.41730952262878,Political Stability and Absence of Violence/Terrorism: Estimate,Index,,Very Low Stability
AFG,Afghanistan,1998,-2.42735457420349,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.010045051574709696,Very Low Stability
AFG,Afghanistan,2000,-2.43896889686584,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.011614322662349963,Very Low Stability
AFG,Afghanistan,2002,-2.03503370285034,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.4039351940154998,Very Low Stability
AFG,Afghanistan,2003,-2.19837236404419,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.16333866119384988,Very Low Stability
AFG,Afghanistan,2004,-2.29568219184875,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.0973098278045601,Very Low Stability
AFG,Afghanistan,2005,-2.06750988960266,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.2281723022460902,Very Low Stability
AFG,Afghanistan,2006,-2.21913456916809,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.15162467956543013,Very Low Stability
AFG,Afghanistan,2007,-2.4133734703064,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.1942389011383101,Very Low Stability
AFG,Afghanistan,2008,-2.69136095046997,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.2779874801635698,Very Low Stability
AFG,Afghanistan,2009,-2.71142148971558,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.020060539245610354,Very Low Stability
AFG,Afghanistan,2010,-2.57915186882019,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.13226962089539018,Very Low Stability
AFG,Afghanistan,2011,-2.50205969810486,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.07709217071532981,Very Low Stability
AFG,Afghanistan,2012,-2.41856145858765,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.08349823951721014,Very Low Stability
AFG,Afghanistan,2013,-2.51934909820557,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.10078763961791992,Very Low Stability
AFG,Afghanistan,2014,-2.41106843948364,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.10828065872193005,Very Low Stability
AFG,Afghanistan,2015,-2.56262516975403,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.15155673027039018,Very Low Stability
AFG,Afghanistan,2016,-2.6621561050415,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.09953093528746981,Very Low Stability
AFG,Afghanistan,2017,-2.7949755191803,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.13281941413880016,Very Low Stability
AFG,Afghanistan,2018,-2.75344133377075,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.041534185409549895,Very Low Stability
AFG,Afghanistan,2019,-2.65253973007202,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.10090160369873002,Very Low Stability
AFG,Afghanistan,2020,-2.702721118927,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.050181388854980025,Very Low Stability
